year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2015,"San Diego County, CA",05000US06073,454876,3143200,454876,9006,3143200,2532
2016,"San Diego County, CA",05000US06073,444024,3172540,444024,7970,3172540,2236
2013,"San Diego County, CA",05000US06073,441648,3057310,441648,8222,3057310,1961
2015,"Wayne County, MI",05000US26163,440449,1759390,440449,6616,1759390,1230
2014,"Wayne County, MI",05000US26163,438295,1770600,438295,6416,1770600,891
2013,"Wayne County, MI",05000US26163,437561,1784140,437561,6778,1784140,1047
2016,"Wayne County, MI",05000US26163,428189,1747380,428189,6171,1747380,1026
2016,"Bronx County, NY",05000US36005,427715,1401000,427715,6791,1401000,1269
2015,"Bronx County, NY",05000US36005,427574,1392600,427574,6515,1392600,1302
2014,"Bronx County, NY",05000US36005,419580,1377200,419580,7513,1377200,1596
2013,"Bronx County, NY",05000US36005,405465,1360490,405465,7488,1360490,1346
2014,"Philadelphia County, PA",05000US42101,401219,1503860,401219,7916,1503860,2359
2015,"Philadelphia County, PA",05000US42101,399352,1512390,399352,7166,1512390,2042
2015,"San Bernardino County, CA",05000US06071,397766,2041780,397766,9083,2041780,2621
2013,"Philadelphia County, PA",05000US42101,395789,1494160,395789,7354,1494160,2033
2015,"Orange County, CA",05000US06059,395483,3078520,395483,8304,3078520,1623
2016,"Philadelphia County, PA",05000US42101,392356,1517070,392356,7479,1517070,2155
2016,"San Bernardino County, CA",05000US06071,392195,2050840,392195,8442,2050840,2914
2014,"Orange County, CA",05000US06059,391705,3049290,391705,7700,3049290,2022
2014,"San Bernardino County, CA",05000US06071,389037,2029260,389037,8542,2029260,2985
2016,"Orange County, CA",05000US06059,385556,3094890,385556,9162,3094890,1658
2015,"Riverside County, CA",05000US06065,379985,2262800,379985,8192,2262800,1506
2014,"Riverside County, CA",05000US06065,376737,2232370,376737,8134,2232370,1497
2016,"Riverside County, CA",05000US06065,376689,2289090,376689,8951,2289090,1195
2013,"San Bernardino County, CA",05000US06071,375280,2010190,375280,9341,2010190,2675
2013,"Orange County, CA",05000US06059,373049,3014420,373049,8132,3014420,1652
2013,"Riverside County, CA",05000US06065,355511,2193760,355511,8424,2193760,1426
2014,"Queens County, NY",05000US36081,344920,2255880,344920,7321,2255880,1307
2015,"Queens County, NY",05000US36081,343834,2275820,343834,6824,2275820,1332
2016,"Queens County, NY",05000US36081,334149,2284530,334149,6044,2284530,1090
2013,"Queens County, NY",05000US36081,333910,2232710,333910,7747,2232710,1022
2015,"Clark County, NV",05000US32003,315358,2010480,315358,5973,2010480,1137
2016,"Bexar County, TX",05000US48029,313406,1824710,313406,6982,1824710,1629
2014,"Bexar County, TX",05000US48029,312307,1752200,312307,6872,1752200,2195
2015,"Bexar County, TX",05000US48029,312088,1790970,312088,7145,1790970,1965
2014,"Clark County, NV",05000US32003,311679,1979100,311679,7713,1979100,1240
2016,"Clark County, NV",05000US32003,307146,2043750,307146,7444,2043750,1174
2013,"Bexar County, TX",05000US48029,302559,1715250,302559,6597,1715250,1600
2013,"Clark County, NV",05000US32003,295724,1952210,295724,6731,1952210,1247
2014,"Tarrant County, TX",05000US48439,284626,1856800,284626,7534,1856800,1157
2015,"New York County, NY",05000US36061,283590,1582880,283590,6808,1582880,1998
2015,"Tarrant County, TX",05000US48439,283264,1889100,283264,6705,1889100,1255
2016,"New York County, NY",05000US36061,279847,1587910,279847,7308,1587910,1369
2014,"New York County, NY",05000US36061,278958,1572360,278958,7101,1572360,2128
2015,"Hidalgo County, TX",05000US48215,277104,809092,277104,6815,809092,729
2013,"Tarrant County, TX",05000US48439,276852,1824000,276852,7195,1824000,1282
2013,"New York County, NY",05000US36061,276148,1559120,276148,6455,1559120,2567
2016,"Tarrant County, TX",05000US48439,275899,1921820,275899,7389,1921820,1101
2014,"Hidalgo County, TX",05000US48215,275717,797048,275717,7151,797048,793
2013,"Hidalgo County, TX",05000US48215,272065,782134,272065,6197,782134,990
2016,"Hidalgo County, TX",05000US48215,267812,817554,267812,6076,817554,640
2015,"Broward County, FL",05000US12011,265880,1827520,265880,6443,1827520,989
2016,"Broward County, FL",05000US12011,265521,1848230,265521,6355,1848230,1146
2014,"Broward County, FL",05000US12011,263443,1800090,263443,5699,1800090,1147
2015,"Sacramento County, CA",05000US06067,262251,1444720,262251,5937,1444720,1498
2016,"Sacramento County, CA",05000US06067,260877,1458870,260877,5582,1458870,1532
2014,"Sacramento County, CA",05000US06067,258031,1427010,258031,6196,1427010,1484
2014,"Fresno County, CA",05000US06019,255019,931998,255019,5197,931998,1033
2016,"Fresno County, CA",05000US06019,254872,946765,254872,6132,946765,959
2015,"Fresno County, CA",05000US06019,252187,939536,252187,6484,939536,855
2013,"Broward County, FL",05000US12011,252152,1769330,252152,6021,1769330,1107
2013,"Sacramento County, CA",05000US06067,248304,1410860,248304,5596,1410860,1414
2013,"Fresno County, CA",05000US06019,239584,922739,239584,5967,922739,863
2014,"King County, WA",05000US53033,233458,1979790,233458,6133,1979790,1425
2015,"Cuyahoga County, OH",05000US39035,231823,1236840,231823,4265,1236840,971
2014,"Cuyahoga County, OH",05000US39035,230111,1241330,230111,4175,1241330,1237
2013,"Cuyahoga County, OH",05000US39035,228497,1246300,228497,4441,1246300,1115
2016,"Cuyahoga County, OH",05000US39035,227740,1232250,227740,4309,1232250,1108
2015,"King County, WA",05000US53033,226204,2016520,226204,5788,2016520,1092
2013,"King County, WA",05000US53033,222813,1945420,222813,5734,1945420,1239
2016,"King County, WA",05000US53033,219317,2050330,219317,4693,2050330,1164
2015,"Hillsborough County, FL",05000US12057,217684,1282680,217684,6114,1282680,1305
2014,"Hillsborough County, FL",05000US12057,216127,1259730,216127,5347,1259730,1260
2016,"Hillsborough County, FL",05000US12057,213566,1302720,213566,5428,1302720,940
2015,"Orange County, FL",05000US12095,212489,1196720,212489,6623,1196720,2633
2016,"Orange County, FL",05000US12095,212105,1223240,212105,6704,1223240,2426
2014,"Franklin County, OH",05000US39049,210472,1170640,210472,5237,1170640,1398
2013,"Franklin County, OH",05000US39049,208639,1155600,208639,5260,1155600,1368
2013,"Hillsborough County, FL",05000US12057,208532,1238650,208532,5577,1238650,1039
2015,"Franklin County, OH",05000US39049,208422,1188080,208422,5288,1188080,1143
2014,"Orange County, FL",05000US12095,207658,1169710,207658,7085,1169710,2707
2016,"Franklin County, OH",05000US39049,205186,1203360,205186,5043,1203360,1349
2014,"Milwaukee County, WI",05000US55079,203926,931401,203926,4751,931401,1153
2015,"Milwaukee County, WI",05000US55079,201124,934073,201124,3778,934073,865
2013,"Milwaukee County, WI",05000US55079,200497,928764,200497,4286,928764,993
2016,"Milwaukee County, WI",05000US55079,198227,933255,198227,4233,933255,797
2015,"Palm Beach County, FL",05000US12099,197340,1359990,197340,5385,1359990,1102
2014,"Alameda County, CA",05000US06001,197191,1531350,197191,4256,1531350,1609
2015,"Shelby County, TN",05000US47157,196471,919879,196471,4661,919879,997
2016,"Shelby County, TN",05000US47157,196471,918762,196471,4109,918762,757
2015,"Kern County, CA",05000US06029,195744,834229,195744,5648,834229,1692
2014,"Shelby County, TN",05000US47157,195530,918198,195530,4461,918198,1373
2013,"Orange County, FL",05000US12095,195229,1147560,195229,6158,1147560,2497
2014,"Palm Beach County, FL",05000US12099,195174,1340580,195174,5756,1340580,1070
2015,"Alameda County, CA",05000US06001,194639,1557090,194639,4389,1557090,1090
2016,"Kern County, CA",05000US06029,194354,839619,194354,5676,839619,1104
2014,"Kern County, CA",05000US06029,192972,824972,192972,5008,824972,1548
2013,"Palm Beach County, FL",05000US12099,192034,1321040,192034,4983,1321040,890
2015,"Marion County, IN",05000US18097,191309,907057,191309,5507,907057,1178
2016,"Palm Beach County, FL",05000US12099,191207,1380170,191207,4721,1380170,943
2013,"Shelby County, TN",05000US47157,190295,914228,190295,5286,914228,1040
2016,"Alameda County, CA",05000US06001,189590,1577620,189590,3738,1577620,1187
2014,"El Paso County, TX",05000US48141,189586,809165,189586,5383,809165,886
2014,"Marion County, IN",05000US18097,189127,900000,189127,4126,900000,1193
2013,"Alameda County, CA",05000US06001,188501,1507580,188501,4931,1507580,1141
2016,"Marion County, IN",05000US18097,187586,913255,187586,4690,913255,1039
2014,"Travis County, TX",05000US48453,187574,1070710,187574,4857,1070710,2038
2015,"Pima County, AZ",05000US04019,187250,972309,187250,4697,972309,1329
2013,"Kern County, CA",05000US06029,186811,814695,186811,5002,814695,1442
2016,"Pima County, AZ",05000US04019,186299,976120,186299,4045,976120,1299
2013,"El Paso County, TX",05000US48141,186223,798598,186223,5570,798598,805
2015,"El Paso County, TX",05000US48141,185728,816100,185728,6278,816100,872
2013,"Pima County, AZ",05000US04019,184668,961965,184668,4535,961965,1275
2014,"Pima County, AZ",05000US04019,184229,967318,184229,4551,967318,1600
2016,"El Paso County, TX",05000US48141,183925,818540,183925,5400,818540,853
2013,"Marion County, IN",05000US18097,182506,893663,182506,4130,893663,1235
2013,"Travis County, TX",05000US48453,181531,1042210,181531,4632,1042210,2297
2013,"Santa Clara County, CA",05000US06085,181376,1785360,181376,5676,1785360,1061
2015,"Travis County, TX",05000US48453,180220,1098340,180220,4710,1098340,1838
2014,"Santa Clara County, CA",05000US06085,180153,1814340,180153,5252,1814340,1649
2015,"Santa Clara County, CA",05000US06085,175690,1840040,175690,4595,1840040,1594
2016,"Santa Clara County, CA",05000US06085,172213,1856100,172213,5311,1856100,1362
2016,"Travis County, TX",05000US48453,171023,1124080,171023,5441,1124080,1811
2015,"Fulton County, GA",05000US13121,167391,953329,167391,4516,953329,1071
2014,"Fulton County, GA",05000US13121,166936,936411,166936,5695,936411,1467
2016,"Fulton County, GA",05000US13121,163674,965446,163674,5607,965446,1151
2013,"Fulton County, GA",05000US13121,161757,918658,161757,4920,918658,1371
2015,"Allegheny County, PA",05000US42003,155874,1198020,155874,3292,1198020,1122
2015,"San Juan Municipio, PR",05000US72127,155011,366269,155011,2977,366269,693
2014,"Allegheny County, PA",05000US42003,154639,1195760,154639,3326,1195760,1892
2013,"Allegheny County, PA",05000US42003,153529,1193910,153529,3688,1193910,1673
2014,"San Juan Municipio, PR",05000US72127,153228,374313,153228,3144,374313,731
2013,"San Juan Municipio, PR",05000US72127,152821,380722,152821,3031,380722,658
2016,"Allegheny County, PA",05000US42003,152390,1196960,152390,3619,1196960,891
2016,"San Juan Municipio, PR",05000US72127,151520,358543,151520,3248,358543,788
2015,"Duval County, FL",05000US12031,150792,870858,150792,4820,870858,1084
2014,"Duval County, FL",05000US12031,150319,861507,150319,4819,861507,1456
2014,"Hennepin County, MN",05000US27053,150167,1162080,150167,3644,1162080,1385
2014,"Suffolk County, MA",05000US25025,149227,705431,149227,4041,705431,1571
2015,"Mecklenburg County, NC",05000US37119,148326,975187,148326,4415,975187,836
2015,"Suffolk County, MA",05000US25025,148278,715178,148278,4622,715178,1694
2014,"Mecklenburg County, NC",05000US37119,147989,953083,147989,4645,953083,1133
2013,"Hennepin County, MN",05000US27053,146826,1148760,146826,3333,1148760,1024
2015,"Hennepin County, MN",05000US27053,146382,1175450,146382,3593,1175450,912
2016,"Duval County, FL",05000US12031,146252,880061,146252,5589,880061,1319
2016,"Suffolk County, MA",05000US25025,145744,723544,145744,3638,723544,1278
2014,"Baltimore city, MD",05000US24510,144849,598360,144849,4055,598360,1538
2014,"Hamilton County, OH",05000US39061,144831,785362,144831,3817,785362,1202
2013,"Duval County, FL",05000US12031,144738,854989,144738,4824,854989,965
2013,"Suffolk County, MA",05000US25025,144381,694265,144381,3525,694265,1761
2015,"Hamilton County, OH",05000US39061,143778,786547,143778,3852,786547,967
2013,"Mecklenburg County, NC",05000US37119,143581,931797,143581,4742,931797,1112
2014,"Cameron County, TX",05000US48061,142946,410344,142946,4796,410344,530
2013,"Baltimore city, MD",05000US24510,142162,597662,142162,4109,597662,1428
2015,"Baltimore city, MD",05000US24510,141654,598639,141654,3560,598639,1472
2016,"Hennepin County, MN",05000US27053,141453,1186940,141453,3259,1186940,881
2013,"Cameron County, TX",05000US48061,141315,406236,141315,5756,406236,577
2016,"Mecklenburg County, NC",05000US37119,141024,996602,141024,4395,996602,922
2013,"Hamilton County, OH",05000US39061,140849,784391,140849,3931,784391,1100
2016,"Hamilton County, OH",05000US39061,140334,787878,140334,3232,787878,891
2015,"Cameron County, TX",05000US48061,139768,413408,139768,3575,413408,613
2016,"Baltimore city, MD",05000US24510,137964,597753,137964,3838,597753,1133
2014,"Multnomah County, OR",05000US41051,137391,742445,137391,3715,742445,827
2016,"Cameron County, TX",05000US48061,136809,414087,136809,3944,414087,465
2015,"Multnomah County, OR",05000US41051,136472,753294,136472,3971,753294,900
2014,"Salt Lake County, UT",05000US49035,135780,1049100,135780,4374,1049100,904
2014,"DeKalb County, GA",05000US13089,135640,692359,135640,5089,692359,1167
2015,"DeKalb County, GA",05000US13089,135469,701820,135469,5022,701820,1079
2016,"DeKalb County, GA",05000US13089,134830,709879,134830,4845,709879,1211
2015,"Erie County, NY",05000US36029,134715,895449,134715,2958,895449,998
2014,"Oklahoma County, OK",05000US40109,134399,727947,134399,3844,727947,2049
2015,"Oklahoma County, OK",05000US40109,134377,738654,134377,3455,738654,1823
2015,"Essex County, NJ",05000US34013,133788,772698,133788,3562,772698,873
2014,"San Joaquin County, CA",05000US06077,132986,686706,132986,4053,686706,1132
2016,"Essex County, NJ",05000US34013,132940,773466,132940,3850,773466,1021
2013,"Oklahoma County, OK",05000US40109,132490,717698,132490,3292,717698,1298
2016,"Oklahoma County, OK",05000US40109,132442,748436,132442,4208,748436,1985
2014,"Essex County, NJ",05000US34013,132420,770490,132420,3791,770490,1066
2016,"Erie County, NY",05000US36029,132072,895999,132072,4042,895999,1083
2014,"Erie County, NY",05000US36029,131644,894415,131644,3951,894415,1195
2015,"Pinellas County, FL",05000US12103,131643,916882,131643,3993,916882,679
2015,"Salt Lake County, UT",05000US49035,131630,1064700,131630,4665,1064700,1087
2013,"Salt Lake County, UT",05000US49035,131033,1033710,131033,5430,1033710,994
2016,"Pinellas County, FL",05000US12103,130727,924925,130727,3707,924925,716
2014,"Pinellas County, FL",05000US12103,130580,910121,130580,4376,910121,936
2016,"Multnomah County, OR",05000US41051,130564,762945,130564,3911,762945,941
2013,"Multnomah County, OR",05000US41051,130507,732970,130507,3962,732970,833
2013,"DeKalb County, GA",05000US13089,130160,685493,130160,4241,685493,969
2013,"Erie County, NY",05000US36029,130138,893091,130138,3206,893091,1528
2015,"San Joaquin County, CA",05000US06077,129390,694606,129390,3710,694606,1091
2015,"Bernalillo County, NM",05000US35001,128917,665269,128917,4134,665269,1093
2013,"Essex County, NJ",05000US34013,127260,766128,127260,3524,766128,876
2013,"Pinellas County, FL",05000US12103,127141,904792,127141,4172,904792,833
2016,"Tulare County, CA",05000US06107,127130,449819,127130,4781,449819,566
2014,"Oakland County, MI",05000US26125,126082,1210480,126082,4247,1210480,784
2015,"Tulare County, CA",05000US06107,125775,447798,125775,3900,447798,597
2015,"Middlesex County, MA",05000US25017,124958,1500600,124958,4020,1500600,1827
2014,"Middlesex County, MA",05000US25017,124813,1484480,124813,4094,1484480,2069
2016,"Bernalillo County, NM",05000US35001,124678,666214,124678,4943,666214,1240
2016,"Middlesex County, MA",05000US25017,124652,1511500,124652,4075,1511500,1307
2016,"San Joaquin County, CA",05000US06077,124587,701338,124587,4000,701338,931
2013,"Oakland County, MI",05000US26125,123718,1203240,123718,3935,1203240,658
2014,"Bernalillo County, NM",05000US35001,123244,662981,123244,4935,662981,1336
2014,"Jefferson County, KY",05000US21111,123145,736068,123145,3667,736068,1330
2013,"San Joaquin County, CA",05000US06077,123115,678214,123115,4293,678214,898
2015,"Oakland County, MI",05000US26125,123086,1219320,123086,3639,1219320,640
2016,"Salt Lake County, UT",05000US49035,122608,1078700,122608,4878,1078700,990
2013,"Jefferson County, KY",05000US21111,122492,731881,122492,3701,731881,990
2014,"Tulare County, CA",05000US06107,122044,445056,122044,4745,445056,743
2015,"Jefferson County, KY",05000US21111,121683,740545,121683,3892,740545,1366
2015,"Jefferson County, AL",05000US01073,121029,644639,121029,3220,644639,1149
2014,"Jefferson County, AL",05000US01073,120510,644504,120510,3221,644504,921
2015,"Jackson County, MO",05000US29095,119678,669511,119678,3964,669511,1014
2013,"Middlesex County, MA",05000US25017,119658,1468540,119658,3763,1468540,1747
2016,"Jefferson County, KY",05000US21111,119158,744185,119158,3468,744185,1572
2013,"Bernalillo County, NM",05000US35001,118286,658467,118286,3952,658467,1660
2015,"Contra Costa County, CA",05000US06013,117915,1086540,117915,3790,1086540,678
2014,"Davidson County, TN",05000US47037,117756,625529,117756,3926,625529,1216
2015,"Gwinnett County, GA",05000US13135,117553,853124,117553,5381,853124,595
2016,"Oakland County, MI",05000US26125,117008,1224700,117008,3404,1224700,705
2016,"Jefferson County, AL",05000US01073,116750,644879,116750,3438,644879,757
2014,"Jackson County, MO",05000US29095,116662,667349,116662,3667,667349,768
2013,"Denver County, CO",05000US08031,116284,607237,116284,3626,607237,798
2015,"Davidson County, TN",05000US47037,116031,636971,116031,3682,636971,1139
2013,"Jefferson County, AL",05000US01073,115966,644513,115966,3201,644513,1321
2016,"Jackson County, MO",05000US29095,115709,672363,115709,3837,672363,797
2013,"Jackson County, MO",05000US29095,115437,664695,115437,3944,664695,750
2013,"Tulare County, CA",05000US06107,115313,440509,115313,4174,440509,620
2014,"Gwinnett County, GA",05000US13135,115201,835503,115201,5124,835503,712
2016,"Hudson County, NJ",05000US34017,115156,661503,115156,3658,661503,1148
2015,"Hudson County, NJ",05000US34017,114900,656054,114900,3363,656054,490
2016,"Davidson County, TN",05000US47037,114238,646910,114238,3723,646910,1039
2014,"Contra Costa County, CA",05000US06013,114171,1071800,114171,4552,1071800,880
2013,"Gwinnett County, GA",05000US13135,113986,819354,113986,4449,819354,668
2014,"Denver County, CO",05000US08031,113930,621206,113930,3846,621206,1034
2013,"Davidson County, TN",05000US47037,113690,615544,113690,4080,615544,955
2016,"Gwinnett County, GA",05000US13135,112999,867945,112999,5405,867945,786
2014,"Hudson County, NJ",05000US34017,112585,648311,112585,3774,648311,716
2016,"District of Columbia, DC",05000US11001,112060,624954,112060,3225,624954,360
2016,"Contra Costa County, CA",05000US06013,111922,1098160,111922,3782,1098160,680
2015,"Polk County, FL",05000US12105,111877,612259,111877,4453,612259,1708
2014,"Monroe County, NY",05000US36055,111713,723233,111713,3104,723233,1332
2013,"Contra Costa County, CA",05000US06013,111173,1055920,111173,4548,1055920,853
2014,"Polk County, FL",05000US12105,111170,602537,111170,4146,602537,1164
2015,"District of Columbia, DC",05000US11001,110365,613291,110365,3465,613291,259
2015,"Denver County, CO",05000US08031,110299,636923,110299,3712,636923,782
2016,"Polk County, FL",05000US12105,110225,623485,110225,4162,623485,1137
2015,"Monroe County, NY",05000US36055,110192,725169,110192,3427,725169,843
2015,"San Francisco County, CA",05000US06075,109524,826944,109524,3332,826944,861
2014,"District of Columbia, DC",05000US11001,109378,599620,109378,3271,599620,248
2013,"District of Columbia, DC",05000US11001,109200,585525,109200,3796,585525,211
2015,"New Haven County, CT",05000US09009,108533,835886,108533,3611,835886,975
2013,"Polk County, FL",05000US12105,108507,595622,108507,4259,595622,1236
2013,"Monroe County, NY",05000US36055,108469,721084,108469,2978,721084,1120
2014,"San Francisco County, CA",05000US06075,108328,815670,108328,3536,815670,881
2013,"San Francisco County, CA",05000US06075,108306,804936,108306,3585,804936,939
2014,"Providence County, RI",05000US44007,108246,602792,108246,3973,602792,857
2016,"Monroe County, NY",05000US36055,107724,725118,107724,2593,725118,1016
2015,"Wake County, NC",05000US37183,107687,953275,107687,4372,953275,1384
2014,"Macomb County, MI",05000US26099,107413,841526,107413,3737,841526,740
2015,"Providence County, RI",05000US44007,107120,604585,107120,3727,604585,717
2013,"Hudson County, NJ",05000US34017,107116,638010,107116,4021,638010,472
2015,"St. Louis County, MO",05000US29189,106821,981215,106821,4121,981215,1054
2016,"New Haven County, CT",05000US09009,106796,834779,106796,3899,834779,755
2016,"Denver County, CO",05000US08031,106745,650979,106745,3456,650979,812
2013,"St. Louis County, MO",05000US29189,106724,979756,106724,3810,979756,1006
2015,"Macomb County, MI",05000US26099,106546,846592,106546,3577,846592,521
2016,"Suffolk County, NY",05000US36103,106499,1468050,106499,4308,1468050,1202
2014,"New Haven County, CT",05000US09009,106282,836739,106282,3477,836739,1442
2015,"Stanislaus County, CA",05000US06099,105927,521482,105927,3659,521482,644
2014,"Hartford County, CT",05000US09003,105547,872334,105547,3689,872334,995
2014,"St. Louis County, MO",05000US29189,105436,980625,105436,4220,980625,1104
2015,"Lee County, FL",05000US12071,105166,653328,105166,4013,653328,1060
2016,"Wake County, NC",05000US37183,105133,975560,105133,3727,975560,1209
2014,"Wake County, NC",05000US37183,104869,929845,104869,4179,929845,1517
2014,"Stanislaus County, CA",05000US06099,104786,516698,104786,4380,516698,718
2013,"Macomb County, MI",05000US26099,104344,837389,104344,3355,837389,643
2016,"Lee County, FL",05000US12071,104219,670684,104219,3712,670684,1492
2015,"Hartford County, CT",05000US09003,104196,872464,104196,3531,872464,973
2016,"San Francisco County, CA",05000US06075,104180,836561,104180,3383,836561,731
2016,"Providence County, RI",05000US44007,104178,605420,104178,3375,605420,605
2013,"Stanislaus County, CA",05000US06099,104173,512206,104173,4359,512206,584
2013,"New Haven County, CT",05000US09009,103599,836211,103599,3457,836211,1276
2016,"Pierce County, WA",05000US53053,103562,816169,103562,3993,816169,1203
2015,"Suffolk County, NY",05000US36103,103269,1471610,103269,4312,1471610,1312
2013,"Providence County, RI",05000US44007,102749,600175,102749,3491,600175,688
2016,"Macomb County, MI",05000US26099,102536,851588,102536,3328,851588,585
2014,"Lee County, FL",05000US12071,102306,637614,102306,3929,637614,914
2015,"Pierce County, WA",05000US53053,102233,804939,102233,3623,804939,981
2013,"Hartford County, CT",05000US09003,100947,870674,100947,3339,870674,1093
2016,"Hartford County, CT",05000US09003,100830,871828,100830,3470,871828,1080
2016,"St. Louis County, MO",05000US29189,100613,979867,100613,4280,979867,1137
2014,"Suffolk County, NY",05000US36103,100432,1471650,100432,3922,1471650,1556
2014,"Pierce County, WA",05000US53053,99743,794608,99743,3415,794608,1160
2013,"Wake County, NC",05000US37183,99679,906662,99679,4450,906662,1310
2014,"Orleans Parish, LA",05000US22071,98937,357411,98937,2405,357411,842
2015,"Orleans Parish, LA",05000US22071,98823,365569,98823,2876,365569,816
2016,"Tulsa County, OK",05000US40143,98682,619761,98682,2142,619761,562
2013,"Pierce County, WA",05000US53053,97870,786520,97870,3760,786520,1256
2016,"Orleans Parish, LA",05000US22071,97252,371081,97252,2672,371081,879
2013,"Lee County, FL",05000US12071,96549,625055,96549,4193,625055,887
2015,"Tulsa County, OK",05000US40143,96498,613350,96498,2242,613350,592
2015,"Montgomery County, OH",05000US39113,96354,516779,96354,3489,516779,869
2016,"Stanislaus County, CA",05000US06099,95739,524616,95739,3260,524616,642
2016,"Montgomery County, OH",05000US39113,95684,516898,95684,3194,516898,862
2014,"Montgomery County, OH",05000US39113,95667,517174,95667,3127,517174,937
2014,"Tulsa County, OK",05000US40143,95533,606128,95533,2724,606128,657
2013,"Tulsa County, OK",05000US40143,95328,599603,95328,2724,599603,585
2013,"Suffolk County, NY",05000US36103,94659,1468350,94659,3960,1468350,1098
2013,"Orleans Parish, LA",05000US22071,94602,345971,94602,2803,345971,710
2014,"Kent County, MI",05000US26081,93667,605222,93667,2949,605222,750
2015,"Kent County, MI",05000US26081,93489,612556,93489,3476,612556,654
2013,"Kent County, MI",05000US26081,93131,599514,93131,3305,599514,575
2016,"Westchester County, NY",05000US36119,92600,945758,92600,3775,945758,959
2015,"Honolulu County, HI",05000US15003,92404,952784,92404,3047,952784,572
2015,"Worcester County, MA",05000US25027,92288,784852,92288,3681,784852,1390
2014,"Honolulu County, HI",05000US15003,92129,944550,92129,3435,944550,578
2016,"Kent County, MI",05000US26081,92049,618991,92049,3110,618991,848
2014,"Ventura County, CA",05000US06111,91912,824329,91912,3350,824329,959
2013,"Honolulu County, HI",05000US15003,91904,934319,91904,3557,934319,641
2015,"Ventura County, CA",05000US06111,91880,829904,91880,3133,829904,849
2013,"Montgomery County, OH",05000US39113,91424,516883,91424,3031,516883,846
2014,"Cobb County, GA",05000US13067,91080,698804,91080,4081,698804,972
2015,"Westchester County, NY",05000US36119,90752,943130,90752,3361,943130,1813
2013,"Ventura County, CA",05000US06111,90471,817365,90471,3928,817365,1125
2016,"Honolulu County, HI",05000US15003,90359,955262,90359,2901,955262,584
2014,"Worcester County, MA",05000US25027,90347,781344,90347,3261,781344,1448
2014,"Lucas County, OH",05000US39095,90339,428014,90339,2844,428014,755
2015,"Lucas County, OH",05000US39095,90091,426061,90091,2943,426061,731
2016,"Worcester County, MA",05000US25027,89860,786695,89860,3054,786695,1315
2014,"Westchester County, NY",05000US36119,89813,938354,89813,3578,938354,1651
2013,"Lucas County, OH",05000US39095,89289,429412,89289,3142,429412,835
2014,"Lake County, IN",05000US18089,88768,487336,88768,3067,487336,442
2016,"Ventura County, CA",05000US06111,88486,831731,88486,3642,831731,862
2013,"Cobb County, GA",05000US13067,88408,689829,88408,3361,689829,913
2013,"Westchester County, NY",05000US36119,88169,932657,88169,3232,932657,1543
